feature,importance_mean,importance_std
hrv_rmssd_proxy_night,0.28364030612244895,0.022302070468884404
hr_std,0.06380867346938776,0.010558377623301566
steps_night,0.02610969387755102,0.006563376932146752
intensity_evening,0.01138775510204081,0.003773134249639923
hr_roll_std_mean,0.010619897959183689,0.0017468083139584613
intensity_mean,0.004903061224489813,0.0023722514730164157
hr_p10,0.002785714285714269,0.0018125821298659265
hr_p90,0.0025790816326530463,0.0012753800954049502
hrv_rmssd_proxy_mean,0.0018877551020408223,0.0014250594586337237
sleep_fraction,0.0010790816326530562,0.0013658350040271234
intensity_p90,0.0009923469387755235,0.0007983063666143906
dow,0.0006938775510203943,0.0005122154231702369
circadian_misalignment_proxy,0.0006224489795918165,0.0017344387567499175
steps_total,0.0002295918367346883,0.0011475622896657994
night_fraction,0.0,0.0
hr_night_std,-7.653061224455193e-06,0.00012808561439420907
hr_night_minus_day,-6.88775510204298e-05,6.6571369136242e-05
hr_mean,-0.00010969387755098703,0.00013355755217051336
hr_night_mean,-0.00012755102040811205,0.0001415758869950291
deep_fraction,-0.0001760204081632466,0.00015452109919294384
restlessness_proxy,-0.00023214285714281412,0.00018376202513728203
steps_per_intensity,-0.00033163265306125346,0.0009804683578524035
rem_fraction,-0.00046428571428569487,0.0003280417837893869
